comparison	stat	region	mean	sd	se	median	n
molestus vs admixed	FST	peak1	0.0774162016667661	0.0980375087150842	0.00225269439927523	0.040397867387728	1894
molestus vs pipiens	FST	peak1	0.284446061851991	0.207336757315334	0.00493519079448051	0.24849835599831	1765
pipiens vs admixed	FST	peak1	0.120385448584485	0.137216250534679	0.00315293894265857	0.0590615697617332	1894
molestus vs admixed	FST	peak3	0.0317243059312089	0.0544642862240918	0.00195515393239392	0.0142330901001294	776
molestus vs pipiens	FST	peak3	0.205428527199694	0.163544307791724	0.00605719658487866	0.188912094171255	729
pipiens vs admixed	FST	peak3	0.108855543958928	0.112089799842472	0.00401861402087179	0.0810731099408203	778
molestus vs admixed	FST	background	0.0478602450666722	0.0665596307776979	0.000330610958474981	0.0238290775060017	40531
molestus vs pipiens	FST	background	0.101727433290747	0.0961130186305825	0.00048567331385205	0.082399472643375	39163
pipiens vs admixed	FST	background	0.0233032123169305	0.0445889014125973	0.000221419200583547	0.0055321361488293	40553
