"comparison","mean_dxy","sd_dxy","n","se_dxy","label","mu","g","generations","years"
"Het vs Hom2",0.00786870088147307,0.00588964212259317,1000,0.000186246837106631,"Best-guess",4.85e-09,0.0548,811206.276440523,44454.1039489406
"Hom1 vs Het",0.00707521292596696,0.0058031851520448,1000,0.000183512827641321,"Best-guess",4.85e-09,0.0548,729403.394429583,39971.3060147412
"Hom1 vs Hom2",0.00873477873270769,0.00711296157152523,1000,0.000224931594752704,"Best-guess",4.85e-09,0.0548,900492.652856463,49346.9973765342
"Het vs Hom2",0.00786870088147307,0.00588964212259317,1000,0.000186246837106631,"Minimum",8e-09,0.0548,491793.805092067,26950.3005190453
"Hom1 vs Het",0.00707521292596696,0.0058031851520448,1000,0.000183512827641321,"Minimum",8e-09,0.0548,442200.807872935,24232.6042714368
"Hom1 vs Hom2",0.00873477873270769,0.00711296157152523,1000,0.000224931594752704,"Minimum",8e-09,0.0548,545923.670794231,29916.6171595238
"Het vs Hom2",0.00786870088147307,0.00588964212259317,1000,0.000186246837106631,"Maximum",1e-09,0.0822,3934350.44073653,323403.606228543
"Hom1 vs Het",0.00707521292596696,0.0058031851520448,1000,0.000183512827641321,"Maximum",1e-09,0.0822,3537606.46298348,290791.251257242
"Hom1 vs Hom2",0.00873477873270769,0.00711296157152523,1000,0.000224931594752704,"Maximum",1e-09,0.0822,4367389.36635385,358999.405914286
