"comparison","mean_dxy","sd_dxy","n","se_dxy","label","mu","g","generations","years"
"Het vs Hom2",0.00853672647971141,0.00409351834452385,1270,0.000114866894681035,"Best-guess",4.85e-09,0.0548,880074.894815609,48228.1042358954
"Hom1 vs Het",0.0100628033014427,0.00496460806790466,1270,0.000139310261753561,"Best-guess",4.85e-09,0.0548,1037402.40221059,56849.6516411402
"Hom1 vs Hom2",0.0108414589754499,0.00549106404450286,1270,0.000154082972690353,"Best-guess",4.85e-09,0.0548,1117676.18303607,61248.6548303767
"Het vs Hom2",0.00853672647971141,0.00409351834452385,1270,0.000114866894681035,"Minimum",8e-09,0.0548,533545.404981963,29238.2881930116
"Hom1 vs Het",0.0100628033014427,0.00496460806790466,1270,0.000139310261753561,"Minimum",8e-09,0.0548,628925.206340169,34465.1013074412
"Hom1 vs Hom2",0.0108414589754499,0.00549106404450286,1270,0.000154082972690353,"Minimum",8e-09,0.0548,677591.185965618,37131.9969909159
"Het vs Hom2",0.00853672647971141,0.00409351834452385,1270,0.000114866894681035,"Maximum",1e-09,0.0822,4268363.2398557,350859.458316139
"Hom1 vs Het",0.0100628033014427,0.00496460806790466,1270,0.000139310261753561,"Maximum",1e-09,0.0822,5031401.65072135,413581.215689295
"Hom1 vs Hom2",0.0108414589754499,0.00549106404450286,1270,0.000154082972690353,"Maximum",1e-09,0.0822,5420729.48772494,445583.96389099
