ID	location	population	country	
PP1664	medina	cadiz	Spain	Q2
PP1827	barbate	cadiz	Spain	H
PP1867	barbate	cadiz	Spain	H
PP1040	edarmo	huelva	Spain	H
PP1041	edarmo	huelva	Spain	H
PP1312	cmutis	huelva	Spain	H
PP1313	cmutis	huelva	Spain	H
PP1314	cmutis	huelva	Spain	H
PP1315	cmutis	huelva	Spain	H
PP1519	edarmo	huelva	Spain	H
PP1575	edarmo	huelva	Spain	H
PP1668	edarmo	huelva	Spain	H
PP1704	edarmo	huelva	Spain	H
PP1759	barbate	cadiz	Spain	H
PP1803	barbate	cadiz	Spain	H
PP1850	barbate	cadiz	Spain	H
PP1621	barbate	cadiz	Spain	H
PP1666	barbate	cadiz	Spain	H
PP1693	almensilla	sevilla	Spain	H
PP1747	barbate	cadiz	Spain	H
PP1974	almensilla	sevilla	Spain	H
PP1528	almensilla	sevilla	Spain	H
PP1582	almensilla	sevilla	Spain	H
PP1592	almensilla	sevilla	Spain	H
PP1686	benalup	cadiz	Spain	Q2
PP1997	benalup	cadiz	Spain	Q2
PP1587	benalup	cadiz	Spain	H
PP1772	bollullos	sevilla	Spain	H
PP1547	bollullos	sevilla	Spain	H
PP1552	campillos	malaga	Spain	H
PP1655	campillos	malaga	Spain	H
PP1869	campillos	malaga	Spain	H
PP2029	campillos	malaga	Spain	H
PP1302	corrales	huelva	Spain	H
PP1304	corrales	huelva	Spain	Q1
PP1308	corrales	huelva	Spain	Q1
PP1058	edarmo	huelva	Spain	H
PP1059	edarmo	huelva	Spain	H
PP1036	granjaescuela	huelva	Spain	H
PP1709	rinconada	sevilla	Spain	H
PP1722	medina	cadiz	Spain	H
PP1797	medina	cadiz	Spain	Q2
PP1845	medina	cadiz	Spain	Q2
PP1411	alamos	huelva	Spain	H
PP1004	puebla	sevilla	Spain	Q1
PP1723	pgenil	cordoba	Spain	H
PP1685	almensilla	sevilla	Spain	H
PP1465	hampa	sevilla	Spain	Q1
PP1835	benalup	cadiz	Spain	Q2
PP1947	pgenil	cordoba	Spain	H
PP1920	hampa	sevilla	Spain	H
PP1972	pgenil	cordoba	Spain	H
PP1878	pgenil	cordoba	Spain	H
PP1654	pgenil	cordoba	Spain	H
PP1671	pgenil	cordoba	Spain	H
PP1566	canada	sevilla	Spain	H
PP1742	almensilla	sevilla	Spain	H
BDA1	Portugal	setubal	Portugal	pipiens
BDA2	Portugal	setubal	Portugal	molestus
BDA3	Portugal	setubal	Portugal	molestus
BDA4	Portugal	setubal	Portugal	molestus
BDAi1	Portugal	setubal	Portugal	molestus
BDAi2	Portugal	setubal	Portugal	pipiens
BDAi3	Portugal	setubal	Portugal	pipiens
BDAi4	Portugal	setubal	Portugal	molestus
BDAi5	Portugal	setubal	Portugal	molestus
BDAi6	Portugal	setubal	Portugal	molestus
BVR1	Belgium	Beveren	Belgium	molestus
BVR2	Belgium	Beveren	Belgium	molestus
BVR3	Belgium	Beveren	Belgium	molestus
BVR4	Belgium	Beveren	Belgium	molestus
BVR5	Belgium	Beveren	Belgium	pipiens
BVR6	Belgium	Beveren	Belgium	pipiens
BVR7	Belgium	Beveren	Belgium	pipiens
EXT1	Spain	Extremadura	Spain	pipiens
FRM1	Belgium	Frameries	Belgium	pipiens
FRM2	Belgium	Frameries	Belgium	pipiens
FRM3	Belgium	Frameries	Belgium	pipiens
FRM4	Belgium	Frameries	Belgium	pipiens
GPN1	Spain	Garrapinillos	Spain	pipiens
GPN2	Spain	Garrapinillos	Spain	pipiens
GPN3	Spain	Garrapinillos	Spain	molestus
GPN4	Spain	Garrapinillos	Spain	pipiens
GPN5	Spain	Garrapinillos	Spain	pipiens
GPNi1	Spain	Zaragoza	Spain	molestus
GPNi2	Spain	Zaragoza	Spain	molestus
