V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,location,population,habitat,sex,cluster_inv1,cluster_inv3,batch,weight
PP1092,-0.00893214543782932,-0.0380808123597842,-0.0477013546080267,-0.00449824588168991,-0.0276927675852366,0.0300675535821894,-0.0119523949633484,0.0199924679243573,0.0102526560081587,-0.00754029051642364,-0.00587867988471217,-0.00678780621190201,-0.0216224414960985,-0.00820181243192045,-0.000923828490454011,0.0112439086006798,-0.00821107932131368,-0.00752093331865341,-0.00228825207617106,-0.00483177342502729,0.0100545943330934,-0.00341312920357462,-0.00736923777262647,-0.00804933407934266,0.00312154199376386,0.0268368457775333,-0.0196902211433977,-0.02151012033263,0.0164365630107976,0.00769035270895558,-0.0183070166420483,0.0181609622780782,palomares,sevilla,urbano,female,2,1,NA,1
PP1093,-0.0132542334917386,-0.0084157428387603,-0.0508041264291926,-0.0500887567310788,-0.0360117524709713,-0.0272841337671038,0.0335782006260197,-0.0121654616483119,0.00544073724518796,-0.000453671343593326,-0.0149839872862798,0.00902623098438111,-0.0121679930683914,-0.0368802884625425,0.0131128022747403,-0.0289535184652333,0.014842832892965,-0.0237205063189394,-0.00717827118432014,-0.0377181274052394,0.00130262112725962,0.00404485401813571,-0.0224940345654268,-0.0493713493132647,0.0259828063677812,0.031858528786105,-0.0197994026455442,-0.00261934797349624,0.022283955828911,-0.00544267325372049,0.0232521870354605,0.0388673248792142,palomares,sevilla,urbano,female,1,1,NA,1
PP1094,-0.0246405969411106,-0.00506863202157513,-3.97612378669551e-05,0.00827235103311883,0.012576013050445,-0.0085627228755096,-0.00468159748235763,-0.00388309486639886,0.00450925257682049,-0.000822289181764843,0.0006854895127546,1.54117043701787e-05,-0.000486458184397648,-0.00225603184109727,-0.00140683798900671,-0.00010605785125887,-0.00301494808167259,0.00146495184289654,-0.00309652653517921,-0.000747402365113318,-0.00234998786357215,-0.00177916626456651,0.00102971512392413,-0.00075270376771793,0.00202049932844101,-0.00102629455999263,-0.00151462957345102,0.00114606828287355,0.00501784628448712,0.000160048939381194,0.0022677745366956,0.00170397776348316,palomares,sevilla,urbano,female,2,2,NA,1
PP1095,-0.0231225674306429,-0.017476731538757,-0.00325447098055339,0.035158752855873,0.029939340529411,0.0143002846698572,-0.00695127702595921,0.0026338084912848,0.00544134706936874,-0.00467398320947422,0.0197681678882026,0.00243590874117222,0.00383442107535132,-0.0126966351039222,-0.00569435595713418,-0.0020028042706428,-0.00884949738915912,-0.00399250711381845,-0.00414611208677717,-0.001242398325259,0.00217649182988522,-0.000972643699230997,0.00460475233622533,-0.00917991980931899,0.0112897881359087,0.0114819389613112,-0.0107222346511154,-0.00707397849287304,0.0169087540009079,-0.00821245651489279,0.00521844909641685,0.00942394362165892,palomares,sevilla,urbano,female,2,2,NA,1
PP1120,-0.0353445755436062,0.00682789135952067,-6.33842749948949e-05,0.00553185684183624,-0.00330483695161731,-0.00221774931041621,0.0102678734943902,-0.000471135053526294,1.19988202691474e-05,0.00146547850796302,0.00186877587830249,0.0014568158000521,0.000581030149048291,0.000685006809322776,-0.0037821055989627,-0.0033494191792283,-0.00200134793850555,-0.00173383743376606,0.000713611491298531,-0.00324514380875558,-0.00228540145457995,0.00123305324266488,-0.00583459450327253,-0.00244508076124812,-0.0022259786218288,0.00339949372320814,-0.00181048680805221,-0.000941087245623989,0.00161808881664344,-0.00216561036559069,0.00290936707284326,0.00454663377662827,dehesa,sevilla,,female,1,2,NA,1
PP1122,-0.061935990873122,0.0143988388878036,-0.118359386051748,-0.0821560724436361,-0.0957977324173144,-0.262578920082381,0.0727082758916902,-0.0948787013115998,0.0520589256884842,-0.053736084116921,0.140517913702707,-0.0878049761790101,-0.0323937952240569,-0.563716285464655,-0.356406516051449,-0.226759339282406,0.110638429452385,-0.194598067940622,0.17391003970034,0.170795531483989,0.21992768367849,0.00852994653886851,0.15042578322575,0.113519940082204,-0.195362323512842,-0.130503970776151,0.0492776668059964,0.0242684472796605,-0.115382122446098,0.0412256264387896,-0.0841858714469038,0.0154477847438836,dehesa,sevilla,,female,1,,NA,
PP1132,0.00227815566014491,-0.0105520553356633,-0.0481642482837293,0.015453429257797,-0.0462861828469883,0.0475408084256648,0.0356789937764242,0.0169102319598854,-0.0176437264937673,0.002315662208416,0.0113804385471201,0.0109985121600097,-0.027108616164894,-0.0143492442216758,-0.017602636648433,0.0384813165463101,0.029362714049539,-0.0442034105937544,0.0269673693485121,-0.014541177834439,-0.0188629636150941,-0.00488746746259106,-0.0561331805394292,-0.076715405885651,0.0458253312340007,0.0522200308921839,-0.0652314707526778,0.021851218714034,0.0243175748309151,-0.0236041050860602,-0.0296311318605415,-0.0494304858643482,canada,sevilla,,female,NA,,4,
PP1146,-0.0162084766027091,-0.0067704848788467,0.00270269843591319,0.00279667481402026,0.00448380054284992,-0.00763327572404504,-0.000980795762783353,-0.00343829332208818,0.00513416493981264,0.00246911039730095,0.000978329835468573,0.00237397462431471,0.00358272922485693,0.00213174593194333,-0.00240714426576345,0.00209062835050649,-0.00233225071332648,0.00401328925045561,-0.000543518835288787,0.00235289294712608,-0.00176135063457552,-0.00175653530326507,0.000659620552176599,0.000973799953831492,-6.36875684628129e-05,0.00094943552799733,0.000102718096387481,0.000601499769278439,-0.00326514190597565,-0.000416295827196668,-0.00294831620909068,-0.00212887779134509,cmutis,huelva,urbano,female,2,2,NA,1
PP1147,-0.0212784471353617,-0.0165648180363308,0.0179618595893684,0.0481191852491512,0.0379282298881645,-0.0934611339481827,-0.0194165531608248,-0.0174808741226209,0.0333658676121768,0.00835992611482006,0.0546307911789092,-0.00175529664005615,0.0136513590392647,-0.00433336662491646,-0.095166351471957,0.0830457297121967,-0.00652504268789993,-0.0576292103546006,0.0389669699588238,-0.0262831012727467,-0.104452073348997,-0.0612969333973359,-0.105500507688435,-0.0806611366754133,0.0775989170840875,0.0661730941622957,-0.0435706652375514,0.0346242203786177,0.0572704692894606,-0.0707545974473986,0.0454591254370061,-0.0814136781601915,canada,sevilla,,female,NA,,4,
PP1148,-0.0450468237545512,0.0107129551493271,-0.000570495328554096,0.0667655113587389,0.050669461138775,-0.20623781749308,-0.0591932624789619,-0.047203921989043,0.023983848810826,-0.00580334347728077,0.0850386642465879,0.0047193300099381,0.0307964991857834,-0.0394272705781609,-0.165068333910822,0.0843997744061846,0.078355680248996,0.029695819147497,-0.0245102426571778,-0.0652726326420396,-0.126269400744261,-0.15010662903961,-0.176431578096405,-0.0963295053718131,0.229060999040726,0.124140038189853,-0.207746475536988,0.218885269832012,0.00197999229078325,-0.334060891121724,-0.0071535278680601,-0.251091197387535,canada,sevilla,,female,NA,,4,
PP1149,0.00304229369458482,-0.00507618766002966,0.00838969989009697,0.00950550741256602,-0.00643050957450069,0.00716643511344322,0.0144666230275448,0.000379724894260051,-0.000956354592220146,0.00112303042461599,0.00094602134298062,0.00341624688189572,-0.00211995383699661,-0.00189503098778113,-0.00383431335297963,-0.00156700437567252,-0.00244201667063722,0.00345904886976175,0.00128448283196729,0.00172237379772563,-0.00556362145639658,-0.00173598321939128,-0.00261914338629363,-0.00653576302091823,-0.0026908764690831,-0.000849191040287507,-0.00370124127815489,0.000116348721218899,0.00261779926527344,0.00299244550638944,0.00138057325531428,0.00481500862131127,colinaspinar,sevilla,urbano,female,1,2,NA,1
PP1151,-0.0181917648070876,-0.0111178395860331,-0.0143482318042675,-0.00567057679042289,-0.003315463098686,-0.0034628517298564,-0.00625096559174192,-0.000412998208200753,0.00844472633707113,-0.000136966950657043,0.001777057151961,-0.00198998303839436,-0.000768525469526469,-4.36621811863773e-05,0.00111204709255585,0.00101383405176006,-0.000536083266952485,0.00368737774245566,-0.0028944190846242,0.00384185001043733,-0.00146133649406457,-0.00254474408970745,-0.00246261661938156,-0.000777726695234801,-0.00224189377819333,-0.00130240763286659,-0.00119553564441146,-0.00111155902745513,0.00059849253271633,0.00212592947761526,-0.000140203996176637,-0.000598340104291814,colinaspinar,sevilla,urbano,female,2,1,NA,1
PP1152,-0.0134435438226446,-0.00998654595988661,0.00345862703001236,0.0162036137845178,0.0071565397636378,0.00651801764054222,-0.00166660955100568,0.00170731347877707,0.000504892153145475,-0.000753155018442999,0.00185683688256987,0.00138914490393717,0.00361971325253649,0.000610551662348539,-0.00308254203583841,0.000620618661916831,0.00148565680846801,0.00260374636001627,-8.68947409037085e-05,-0.00109285022294634,-0.00568392849851659,6.92754246438415e-05,0.00220224159202648,-0.0015365940031453,-0.00123604470332693,0.00270765057598876,-0.000765988296510261,0.00185376279071433,-0.000251596291011209,0.00111769574559956,0.000584326328658268,-0.00178209574381461,colinaspinar,sevilla,urbano,female,2,2,NA,1
PP1156,-0.14737284349432,0.27665449755304,0.0827070106309862,-0.147394004064843,-0.0540060105672533,0.27537285161316,-0.213501483157773,-0.744142401712358,-0.189558393401793,0.170309241349048,0.0555668587600588,-0.100023874586084,-0.207227002494231,0.0910561444964892,-0.130181229758697,0.0241145833541589,-0.00589885936658369,-0.00202875437239413,-0.0232103387677031,-0.0250188355149778,0.0270119588030167,-0.0691936978511214,-0.0101756982903051,-0.0149041295992374,0.0151996064594233,-0.0300760315273537,-0.0183643342774655,-0.0197086966390808,0.0025455643279119,0.0361269799278112,-0.000875305622513221,0.00239102931029566,colinaspinar,sevilla,urbano,female,NA,,4,
PP1157,-0.0542627448432445,-0.0108302598169036,-0.00953335865339576,0.0896314928512499,0.105011517246272,0.0138183749461908,-0.0385723644054725,-0.232754665183731,0.103405626448408,0.122165492186055,0.0177348209312942,0.0158017929731076,0.586633621692522,-0.25355804415499,0.499095643316075,0.0759676255555308,0.217331129294088,0.059163602529516,0.124853638167032,0.00474007340094542,-0.0270230629695872,0.0442457379048662,-0.029372802444401,0.0403526604087354,-0.0671556888333901,-0.176898013167497,-0.00802899628343895,0.0408156615980617,0.0359326076695802,-0.00759911702626166,0.0346843707436478,-0.0056670863927659,colinaspinar,sevilla,urbano,female,NA,,4,
PP1158,-0.0277044504705072,-0.0106041895712464,0.00172036667523914,0.0260687099448047,0.0163601221710274,-0.0102857469822204,-0.00345916293991764,-0.000788542682477607,0.0186861495731223,0.00519530675758828,0.00736440843122004,0.00129611018585261,0.00703252483506778,0.00106199322444535,-0.00105914379898977,-0.00127782332924475,-0.00345172127490233,0.0129726444364788,-0.0088675651868798,0.0153698613542909,-0.0181394198097381,-0.00962387471714746,-0.00729744755813826,-0.00987103716372244,-0.0085331314020033,-0.0127834793576822,-0.0114535999627246,0.010579125114804,0.000148747925214955,0.0024823005292284,0.017940983438881,-0.00169571817144928,colinaspinar,sevilla,urbano,female,2,2,NA,1
PP1159,-0.0475716077074534,-0.025017631412459,-0.0719996365354055,-0.00512093286567843,-0.043218603262664,0.138005455371208,0.0159535018924764,-0.0609729518653984,-0.0545789231429635,0.0242544090493312,-0.0231573559430543,0.00900120780796376,0.0350319763535889,-0.04454007204574,0.0750237588325302,0.0198111057813456,0.0289284192540407,-0.0138967248845888,0.0444281800559032,-0.0560958858206931,0.00626022310878999,0.0398122977281064,0.0333351651413988,0.0137187963229604,-0.0495622103317667,0.0894948370402066,-0.0413276449463254,-0.0657212648950681,-0.00119253076146337,-0.087657430655431,-0.0348402568292402,0.0438910361154341,colinaspinar,sevilla,urbano,female,NA,,4,
