tclassif	cov	count	proportion	gen	Number_of_Distinct_Classifications
DNA	133401632	720921	0.250205608726369	533168032	1106
LINE	24739770	36812	0.0464014504155418	533168032	254
LTR	31129959	101605	0.0583867695203451	533168032	1110
Other (Simple Repeat, Microsatellite, RNA)	33927218	124239	0.0636332562414395	533168032	8986
Penelope	377911	1597	0.000708802811343348	533168032	11
Rolling Circle	22321258	191682	0.0418653344917724	533168032	147
SINE	3295714	14998	0.00618137960679533	533168032	7
Unclassified	57287112	233770	0.107446637010675	533168032	720
